,Player,Market Value (Euros),Predicted Market Value (Euros),Age,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
21,Anderson Talisca,"32,500,000","35,438,504",26,83.0,49.3,73.2,80.3,75.1,81.5,11.8
22,Carvajal,"34,499,999","34,254,923",28,81.0,83.7,80.3,80.3,80.4,56.9,13.0
23,Marlos,"15,500,000","32,554,586",32,87.5,44.3,70.3,76.0,78.1,73.6,9.8
24,Tanguy Ndombele,"21,500,000","32,155,007",23,87.0,70.0,79.0,77.0,75.6,63.1,9.2
25,Gonçalo Paciência,"13,500,000","31,555,297",26,79.0,24.7,71.3,51.3,70.9,72.1,10.0
26,Edin Višća,"25,500,000","30,903,223",30,81.0,45.0,70.0,78.7,82.0,70.4,12.8
27,James Rodríguez,"32,500,000","30,739,953",29,88.0,45.7,74.8,84.7,62.9,83.8,12.8
28,Houssem Aouar,"26,000,000","30,089,535",22,85.0,64.0,76.2,77.7,75.6,70.5,9.6
29,Mike Maignan,"21,500,000","30,069,363",25,23.0,15.0,40.0,27.0,53.7,21.6,81.4
30,Ricardo Pereira,"32,999,999","29,631,725",26,82.0,82.7,78.8,81.0,80.1,64.2,13.0
31,Idrissa Gueye,"26,500,000","29,156,022",30,77.5,85.7,79.0,72.7,79.6,58.0,9.4
32,Dani Ceballos,"23,499,999","29,033,060",24,84.0,72.0,78.0,78.7,70.3,64.4,12.6
33,Kepa,"25,000,000","28,783,413",25,21.5,17.7,41.5,42.7,43.7,24.1,82.6
34,Armando Izzo,"15,500,000","28,776,146",28,64.0,82.7,60.2,53.0,69.1,40.1,10.2
35,Daniele Rugani,"19,999,999","28,699,773",26,64.5,83.0,64.0,58.0,67.3,44.1,6.0
36,Kerem Demirbay,"21,999,999","28,494,600",27,85.0,61.7,78.0,78.0,71.9,71.1,13.6
37,Alex Telles,"31,499,999","27,975,427",27,82.5,80.0,78.3,87.0,78.7,77.0,11.6
38,Brandon Mechele,"9,499,999","27,467,258",27,58.0,80.7,60.2,52.7,65.9,39.2,11.2
39,Max Kruse,"22,499,999","26,366,360",32,83.5,41.3,73.0,82.7,70.9,78.5,9.2
40,Wilfried Zaha,"28,000,000","26,090,260",27,88.0,32.0,68.5,72.0,79.4,64.9,12.2
41,Arkadiusz Milik,"32,999,999","25,854,166",26,78.5,33.7,67.2,62.0,68.6,81.4,12.4
42,Otávio,"15,999,999","25,525,691",25,84.0,44.3,72.0,76.0,70.4,68.9,11.4
43,Moussa Dembélé,"29,500,000","25,064,387",24,76.5,23.0,68.0,56.7,80.1,71.4,9.8
44,Rodrigo Bentancur,"20,499,999","24,874,832",23,84.5,74.3,74.5,78.7,72.4,62.6,11.0
45,Joel Matip,"26,000,000","24,808,981",29,70.5,83.0,74.5,68.3,62.0,51.2,10.6
46,Keylor Navas,"30,500,000","24,741,356",33,17.5,18.7,47.8,26.0,59.4,19.6,83.6
47,Radja Nainggolan,"27,499,999","24,740,157",32,83.5,86.3,84.5,80.0,77.4,73.1,11.0
48,Diego Costa,"21,500,000","24,258,217",31,78.0,42.3,75.3,60.7,70.1,75.4,11.0
49,Alphonse Areola,"20,999,999","23,563,075",27,17.0,14.3,43.3,35.0,59.4,22.5,81.2
50,Jesús Corona,"22,499,999","23,484,743",27,87.0,76.7,79.5,77.0,77.9,70.5,10.0
51,Matthias Ginter,"23,499,999","23,343,865",26,67.0,82.3,71.8,72.0,64.1,58.0,9.2
52,Erling Braut Haaland,"22,499,999","23,292,955",20,74.0,28.0,69.3,55.0,77.3,75.1,10.4
53,Pozuelo,"15,500,000","22,391,669",28,83.5,46.3,72.8,77.0,70.4,70.8,10.0
54,Melendo,"20,499,999","22,385,231",23,81.5,56.3,68.0,80.7,73.6,58.2,10.4
55,Ricardo Horta,"15,999,999","22,239,983",25,81.5,37.0,71.7,74.0,73.3,72.6,9.4
56,Adrien Rabiot,"27,499,999","22,158,256",25,81.0,75.3,79.3,77.7,75.1,72.0,10.4
57,Dayot Upamecano,"20,999,999","22,042,902",21,63.5,79.3,65.0,64.0,73.3,38.5,9.0
58,Guzmán Corujo,"6,999,999","22,035,231",24,46.0,78.0,57.3,58.3,67.6,37.1,9.2
59,Deulofeu,"20,999,999","21,938,320",26,87.5,28.7,65.3,72.3,78.1,71.8,12.8
60,Éver Banega,"26,500,000","21,838,008",32,84.0,79.0,80.5,83.7,69.1,73.2,9.0
61,Jack Grealish,"19,999,999","21,559,598",24,82.5,46.7,68.2,77.3,70.1,65.8,10.2
62,Thomas Delaney,"22,999,999","21,044,371",29,75.0,83.0,79.7,74.3,79.9,71.5,12.0
63,Domagoj Vida,"10,000,000","20,437,632",31,58.5,81.3,68.0,63.0,72.1,45.2,11.2
64,Thomas Müller,"37,500,000","20,229,546",30,78.0,50.0,78.3,78.3,72.9,76.0,10.4
65,Duván Zapata,"26,999,999","20,166,340",29,79.0,32.7,66.8,54.7,73.4,72.1,8.0
66,Christian Pulisic,"20,499,999","20,165,429",21,84.5,39.0,63.0,68.3,79.9,64.1,12.6
67,Josip Iličić,"28,000,000","19,918,371",32,88.0,37.0,73.3,80.7,65.0,81.4,10.4
68,Ibrahima Konaté,"18,000,000","19,713,178",21,69.0,80.0,64.7,60.7,71.0,38.8,9.8
69,André Almeida,"11,000,000","19,546,363",29,77.0,81.3,75.7,78.3,71.4,61.5,9.4
70,Renato Sanches,"14,500,000","18,446,971",23,82.0,70.0,77.2,75.3,81.1,70.6,10.0
71,Óliver Torres,"13,500,000","18,173,213",25,83.5,62.0,73.2,77.0,66.0,65.9,8.4
72,Calvin Stengs,"13,999,999","17,912,229",21,82.5,33.3,63.7,73.3,69.3,61.2,9.4
73,Takumi Minamino,"11,500,000","17,842,602",25,81.0,29.3,66.2,66.3,81.0,69.0,11.6
74,Luis Suárez,"52,999,999","17,799,367",33,84.5,46.7,80.2,79.7,77.3,86.1,30.6
75,Alassane Plea,"17,499,999","17,698,635",27,78.5,33.0,69.8,74.0,75.1,76.8,13.8
76,Eric Dier,"12,000,000","17,532,866",26,67.5,80.3,72.8,73.0,60.3,67.6,10.6
77,Iago Aspas,"34,499,999","17,423,611",33,85.5,26.0,72.3,75.7,73.3,80.9,12.4
78,Corentin Tolisso,"27,499,999","17,354,657",26,79.0,74.3,78.7,77.7,77.1,73.9,10.8
79,Giacomo Bonaventura,"16,999,999","17,291,795",31,84.0,71.3,76.0,82.0,72.6,76.5,12.0
80,Santi Cazorla,"12,499,999","17,076,400",35,86.0,63.7,79.3,84.7,65.4,75.8,8.4
81,Marcos Llorente,"21,500,000","16,704,400",25,74.5,77.0,77.2,76.7,69.4,56.6,10.2
82,Alessio Cragno,"18,000,000","16,611,002",26,17.0,14.3,39.8,22.0,47.1,20.0,79.0
83,Rafinha,"20,999,999","16,606,049",27,84.5,68.7,72.5,77.7,70.7,71.1,10.4
84,Sebastian Giovinco,"13,999,999","16,590,941",33,86.0,26.7,71.2,76.0,71.4,75.4,4.2
85,Sandro Tonali,"18,000,000","16,489,445",20,77.5,72.0,72.7,77.7,75.6,68.5,8.8
86,Romelu Lukaku,"52,999,999","16,469,827",27,77.0,30.0,71.5,74.3,70.7,78.9,10.8
87,Luiz Felipe,"14,500,000","16,306,991",23,70.0,79.7,64.0,63.7,64.6,37.9,10.8
88,Nani,"11,500,000","16,241,747",33,86.0,31.7,71.0,79.0,67.7,76.4,8.0
89,Nick Pope,"12,000,000","16,220,900",28,19.5,14.3,41.2,26.0,51.0,19.6,78.8
90,Matías Vargas,"12,000,000","16,131,760",23,78.5,40.3,65.5,72.0,81.7,65.9,10.8
91,Manuel Lanzini,"15,000,000","16,096,930",27,84.0,29.3,62.5,77.0,72.0,69.9,10.2
92,Simone Verdi,"11,500,000","15,962,562",28,82.0,52.3,65.3,77.3,73.9,72.9,10.6
93,Thiago Silva,"18,499,999","15,886,857",35,73.5,87.0,77.2,73.3,71.4,62.6,9.0
94,Timo Horn,"12,999,999","15,856,622",27,21.0,13.0,39.0,28.7,48.4,20.2,78.8
95,Darío Benedetto,"15,000,000","15,693,747",30,76.5,31.7,69.2,65.3,77.3,74.8,11.0
96,Fábio Martins,"10,500,000","15,625,853",27,82.0,45.7,70.2,70.3,74.9,71.1,10.6
97,Aïssa Mandi,"15,000,000","15,618,333",28,71.0,79.7,75.3,77.3,71.4,53.0,12.8
98,Morgan Sanson,"19,000,000","15,355,081",26,78.5,71.3,75.8,80.0,76.4,72.6,11.2
99,James Milner,"10,500,000","15,222,625",34,78.5,78.7,80.8,83.7,69.1,75.0,9.0
100,Juan Musso,"11,500,000","15,011,103",26,18.0,14.0,41.2,25.0,45.0,21.4,78.8
101,Carlos Vela,"24,500,000","14,863,320",31,84.5,22.3,70.8,75.0,75.4,77.6,10.6
102,Eric Bailly,"16,500,000","14,820,479",26,61.0,79.3,69.2,58.0,72.7,49.0,11.0
103,Benito Raman,"10,000,000","14,766,703",25,79.0,29.7,66.0,66.0,76.1,71.1,11.0
104,Mario Balotelli,"18,499,999","14,728,658",30,82.0,17.3,67.3,69.0,70.9,79.4,2.4
105,Hwang Hee Chan,"12,000,000","14,636,698",24,78.0,25.0,64.7,69.7,83.0,65.8,10.8
106,Marko Grujić,"12,499,999","14,565,375",24,80.0,70.7,76.7,71.7,67.1,66.0,11.2
107,Galeno,"12,999,999","14,539,540",22,82.5,28.7,66.3,63.0,77.0,64.6,11.6
108,Yuri Berchiche,"14,500,000","14,441,138",30,76.0,78.7,74.0,77.3,81.7,68.1,10.6
109,Yeray,"17,499,999","14,275,420",25,63.0,80.3,66.0,63.7,71.9,56.2,10.4
110,Adnan Januzaj,"19,000,000","14,207,577",25,84.0,25.0,63.5,78.3,72.4,68.8,11.0
111,Danilo Pereira,"20,499,999","14,195,615",29,76.5,78.0,77.5,73.7,69.1,61.8,11.6
112,Adel Taarabt,"9,499,999","14,073,953",31,85.5,62.0,76.0,76.7,67.1,67.5,4.8
113,Shoya Nakajima,"11,500,000","14,070,709",26,80.5,35.0,68.2,67.7,76.4,67.4,8.2
114,Trezeguet,"10,000,000","13,914,657",25,80.5,35.0,57.5,74.3,74.6,65.5,10.0
115,Diadie Samassékou,"12,499,999","13,901,935",24,71.5,78.3,73.7,69.0,74.6,49.8,9.8
116,Emil Forsberg,"18,499,999","13,793,400",28,83.0,25.0,69.3,80.3,69.0,69.0,11.0
117,Arturo Inálcio,"15,000,000","13,745,825",20,79.0,50.7,66.0,77.0,70.6,60.8,11.4
118,Sander Berge,"16,999,999","13,654,936",22,78.0,73.0,74.0,75.3,71.3,56.9,10.2
119,Fernandinho,"14,500,000","13,637,903",35,79.5,85.7,81.3,78.3,73.9,72.2,9.6
120,Takashi Inui,"11,000,000","13,507,855",32,83.5,43.3,65.7,73.7,75.4,66.8,11.4
121,Rúben Vezo,"12,499,999","13,447,451",26,62.0,79.7,66.5,67.3,73.7,53.9,10.4
122,Víctor Ruiz,"8,500,000","13,423,065",31,59.0,80.7,66.5,64.3,61.1,51.1,9.2
123,Guillermo Maripán,"9,499,999","13,399,294",26,49.5,77.3,61.0,56.0,50.0,37.9,10.8
124,Bruno Guimarães,"13,999,999","13,393,887",22,79.0,74.3,73.5,73.7,70.3,65.4,11.0
125,Vincenzo Grifo,"9,499,999","13,245,699",27,81.5,37.0,64.8,74.7,69.4,72.9,10.4
126,Christoph Kramer,"11,000,000","13,133,579",29,74.5,76.7,77.0,71.0,61.6,51.6,8.8
127,Robin Knoche,"9,499,999","13,120,157",28,48.0,78.0,62.7,54.3,57.6,43.8,11.8
128,Samuel Chukwueze,"13,999,999","13,077,350",21,83.5,35.0,60.8,64.7,77.6,64.9,8.4
129,Fernando Muslera,"12,000,000","12,912,772",34,26.0,14.7,43.0,35.3,64.1,18.2,79.8
130,Noussair Mazraoui,"9,499,999","12,752,694",22,80.5,71.3,73.0,74.3,73.4,54.5,11.2
131,Junior Firpo,"15,500,000","12,735,799",24,75.5,74.7,74.8,75.3,75.3,58.5,9.8
132,Maxime Lopez,"11,000,000","12,613,415",22,76.5,63.7,73.5,78.3,72.0,68.0,10.2
133,Jovane Cabral,"10,000,000","12,511,725",22,78.5,33.3,62.5,69.7,77.0,67.4,10.0
134,Amath Ndiaye,"11,000,000","12,485,778",24,81.5,42.7,66.7,65.3,79.1,66.4,8.8
135,Roberto Gagliardini,"12,000,000","12,442,623",26,76.0,77.7,73.2,72.3,66.1,61.2,8.4
136,Callum Wilson,"13,500,000","12,432,431",28,76.5,31.0,69.8,64.3,76.3,70.1,9.8
137,Santiago Arias,"11,000,000","12,398,601",28,75.5,77.0,73.3,74.0,79.6,53.2,13.2
138,Bruno Tabata,"10,000,000","12,092,936",23,79.0,33.3,68.3,68.7,70.4,67.2,8.8
139,Steve Mandanda,"11,500,000","12,092,780",35,23.0,13.7,45.3,32.0,50.0,17.6,81.0
140,Sergi Gómez,"12,999,999","11,894,086",28,65.5,79.3,68.0,67.3,67.0,47.1,12.0
141,Alberth Elis,"8,999,999","11,877,805",24,78.0,24.3,65.0,60.3,78.3,65.8,8.2
142,Pau Torres,"13,999,999","11,833,391",23,69.5,78.7,65.2,66.0,67.6,41.6,11.8
143,Soualiho Meïté,"11,000,000","11,685,008",26,80.0,73.3,73.5,74.7,70.6,58.8,10.2
144,Nehuén Pérez,"7,999,999","11,681,671",20,43.0,76.3,58.8,48.0,63.1,32.8,8.0
145,Odriozola,"15,000,000","11,477,765",24,76.5,75.3,67.8,76.0,78.3,55.5,10.4
146,Justin Bijlow,"8,500,000","11,470,897",22,16.0,13.3,38.2,29.0,50.7,16.6,75.0
147,Mata,"14,500,000","11,447,147",31,78.5,28.7,68.2,59.7,68.3,70.1,9.6
148,Maximiliano Meza,"8,500,000","11,343,948",27,80.0,43.0,63.2,71.0,76.9,69.5,11.4
149,Lewis Dunk,"12,999,999","11,317,280",28,67.5,79.0,67.5,60.7,58.3,45.6,11.6
150,Yari Verschaeren,"7,999,999","11,198,348",19,78.0,38.0,59.2,72.7,72.6,63.6,10.0
151,Matt Doherty,"12,999,999","11,193,520",28,76.5,75.7,74.5,75.7,75.4,59.6,11.0
152,Benoît Costil,"7,999,999","11,171,337",33,12.5,13.7,39.7,26.3,46.1,19.1,78.6
153,Kurt Zouma,"19,999,999","11,153,897",25,56.5,79.0,69.5,60.0,69.3,58.0,11.8
154,Dominik Szoboszlai,"10,000,000","11,042,044",19,80.0,33.0,58.7,69.7,73.4,72.2,9.8
155,Andreas Pereira,"10,000,000","10,929,837",24,77.5,66.0,72.8,76.7,72.3,72.5,10.6
156,Youssef El Arabi,"6,999,999","10,923,848",33,79.0,32.3,65.0,63.7,70.9,77.9,10.0
157,Adrien Thomasson,"12,999,999","10,880,371",26,78.5,64.0,74.5,76.0,74.1,66.9,12.0
158,David Brooks,"11,500,000","10,816,131",23,79.0,46.7,68.0,72.7,71.1,67.2,10.2
159,Dorlan Pabón,"6,999,999","10,807,077",32,74.5,34.3,69.3,71.7,81.0,73.5,12.8
160,Ismaïla Sarr,"16,500,000","10,783,940",22,81.0,20.7,61.8,65.3,76.3,68.8,9.8
161,Paulinho,"9,499,999","10,754,949",20,79.0,32.7,59.8,68.7,76.1,60.9,12.6
162,Davy Klaassen,"12,000,000","10,648,670",27,77.0,67.7,77.2,71.7,69.7,70.1,11.4
163,Stephan El Shaarawy,"19,000,000","10,597,173",27,78.5,43.7,67.2,72.7,75.9,75.4,4.2
164,Marcus Thuram,"19,499,999","10,563,847",23,79.5,42.0,66.3,68.0,74.9,66.1,12.4
165,Tom Davies,"8,999,999","10,555,882",22,76.5,69.7,74.2,73.3,67.3,58.6,11.2
166,Dennis Praet,"11,000,000","10,492,477",26,79.0,60.3,71.8,77.3,68.4,68.1,9.2
167,Édouard Mendy,"8,999,999","10,408,068",28,12.0,11.3,35.2,17.3,41.4,16.1,76.6
168,Daniel Didavi,"8,500,000","10,381,896",30,79.0,48.0,70.7,75.3,70.3,75.1,10.6
169,Frank Acheampong,"11,500,000","10,288,516",26,78.5,50.3,65.8,68.7,87.0,67.5,12.4
170,Oscar Dorley,"8,500,000","10,285,435",22,76.0,68.0,74.0,73.3,78.9,63.9,8.6
171,Dodi Lukébakio,"10,500,000","10,267,433",22,80.5,28.0,59.8,67.7,74.0,67.8,10.6
172,Justin Kluivert,"11,000,000","10,250,885",21,80.0,35.3,60.8,64.3,75.4,67.0,8.8
173,Mattia De Sciglio,"8,999,999","10,150,813",27,74.5,78.3,69.7,73.3,75.3,52.9,4.2
174,Óscar Romero,"8,500,000","10,108,384",28,79.0,30.3,60.3,74.0,75.4,68.5,10.6
175,Oğuzhan Özyakup,"8,999,999","10,100,895",27,79.0,60.0,70.8,77.3,71.1,70.6,10.8
176,Gabriel,"12,999,999","10,090,072",22,57.0,77.3,67.2,59.3,61.0,41.5,10.0
177,Mason Holgate,"10,500,000","10,074,796",23,68.5,77.7,70.2,73.0,69.7,47.2,11.6
178,Edwin Cardona,"8,999,999","10,050,810",27,78.5,34.3,69.7,77.7,64.7,75.6,11.6
179,Jason,"10,000,000","10,035,433",26,78.5,44.3,68.0,70.7,73.7,70.1,10.8
180,Callum McGregor,"9,499,999","9,921,704",27,78.5,72.3,75.2,72.7,78.3,62.9,10.8
181,Florian Neuhaus,"15,000,000","9,908,016",23,79.5,64.7,71.7,74.0,70.4,60.6,10.6
182,Nicolas De Préville,"6,999,999","9,896,888",29,76.0,32.0,68.8,71.3,72.3,73.2,10.4
183,Chiquinho,"12,000,000","9,748,077",25,79.5,56.0,69.5,76.3,65.3,68.2,7.2
184,Nemanja Radoja,"8,999,999","9,653,269",27,76.0,74.0,73.5,72.0,61.9,54.6,10.4
185,Salif Sané,"12,999,999","9,634,737",30,66.0,79.0,70.0,67.7,59.1,52.2,12.0
186,Martin Terrier,"12,000,000","9,626,731",23,76.0,33.0,64.0,72.0,74.3,69.1,8.6
187,Joel Campbell,"6,000,000","9,554,197",28,75.0,38.0,67.7,74.0,78.1,69.8,13.2
188,Sam Lammers,"8,500,000","9,527,567",23,76.5,25.7,61.7,56.0,73.3,67.4,10.6
189,Predrag Rajković,"12,000,000","9,520,742",24,13.0,10.3,31.3,21.3,33.7,17.4,76.8
190,Stevan Jovetić,"10,500,000","9,491,214",30,80.0,31.0,65.5,71.7,66.4,78.2,8.0
191,Benjamin Henrichs,"8,999,999","9,436,211",23,77.5,74.0,70.8,72.0,72.1,56.9,11.2
192,Jaume,"7,499,999","9,389,759",29,22.5,18.0,38.3,31.3,59.3,22.0,76.6
193,Wout Weghorst,"19,499,999","9,363,610",28,71.5,31.3,70.5,55.3,69.4,69.0,12.4
194,Jordan Amavi,"8,500,000","9,309,752",26,76.5,75.0,70.7,74.0,77.4,64.0,11.6
195,Roberto Pereyra,"8,999,999","9,304,166",29,81.0,61.3,73.3,75.7,71.9,71.9,4.8
196,Mohamed Elyounoussi,"10,000,000","9,303,400",26,76.0,44.0,62.8,76.3,75.4,69.4,9.4
197,Guaita,"8,999,999","9,259,802",33,20.0,18.3,42.0,35.7,55.0,24.8,79.6
198,Flavien Tait,"9,499,999","9,203,317",27,79.0,33.7,64.5,73.0,70.1,64.5,11.6
199,Hernâni,"7,999,999","9,181,695",29,81.0,26.7,61.3,67.3,76.9,68.1,8.0
200,Kelechi Iheanacho,"7,999,999","9,145,985",23,75.5,25.3,62.8,60.7,70.3,70.1,9.6
201,Nicolás Otamendi,"11,000,000","9,098,835",32,58.0,79.7,71.3,64.3,65.1,56.5,9.6
202,Ramy Bensebaini,"10,000,000","9,088,754",25,74.0,75.0,72.0,73.3,70.6,54.5,10.8
203,Gonzalo Montiel,"11,000,000","9,071,793",23,72.0,72.3,75.0,69.7,80.7,54.2,7.6
204,Hamari Traoré,"7,999,999","9,035,127",28,75.5,72.7,70.7,75.3,80.0,53.9,11.2
205,Nathan Redmond,"10,500,000","8,990,384",26,80.5,29.7,60.3,69.7,72.9,63.1,11.6
206,Amadou Diawara,"9,499,999","8,985,935",23,76.0,73.0,72.3,70.0,68.1,53.0,10.4
207,Omar Mascarell,"13,500,000","8,943,170",27,77.5,75.0,73.0,71.3,71.4,62.6,8.6
208,Lucas Andersen,"10,000,000","8,903,826",25,78.5,28.3,61.5,70.3,73.6,67.5,10.2
209,Youssef Aït Bennasser,"8,500,000","8,886,970",24,78.5,65.7,69.3,76.7,68.7,61.2,9.2
210,Emil Audero,"11,500,000","8,851,420",23,18.5,10.0,34.2,20.3,50.4,21.6,76.0
211,Fernando,"16,999,999","8,840,621",33,74.0,81.3,76.3,73.3,70.1,62.2,5.8
212,Silvan Widmer,"7,999,999","8,836,432",27,76.5,72.7,69.7,75.7,77.9,63.0,8.8
213,Gastón Giménez,"7,999,999","8,799,799",29,79.0,67.7,71.3,77.7,71.6,61.5,12.4
214,Jonjo Shelvey,"10,500,000","8,733,204",28,75.0,61.3,74.3,79.7,65.0,72.0,12.8
215,Rémi Oudin,"10,000,000","8,726,039",23,76.0,29.0,61.7,71.7,74.0,72.4,10.2
216,Robin Quaison,"10,000,000","8,700,823",26,80.0,50.0,68.0,69.0,72.9,69.1,10.4
217,Karim Rekik,"8,999,999","8,651,028",25,61.5,76.7,66.3,59.3,69.4,43.2,11.0
218,Muo Cadete,"10,500,000","8,639,721",20,76.0,36.7,62.3,72.7,71.7,51.2,10.8
219,Rogelio Funes Mori,"8,999,999","8,625,687",29,73.5,38.0,71.5,66.7,76.7,71.1,10.8
220,Davide Calabria,"9,499,999","8,619,067",23,70.5,77.3,65.8,71.3,74.0,54.2,11.2
221,Teemu Pukki,"8,999,999","8,617,447",30,75.0,25.0,68.2,50.3,74.7,65.0,9.0
222,Fabrício,"2,399,999","8,608,533",30,70.5,27.3,69.0,64.3,74.3,72.9,11.2
223,Franco Armani,"8,999,999","8,583,365",33,25.0,13.7,44.3,24.3,48.0,20.6,77.8
224,Fredrik Midtsjø,"10,500,000","8,504,600",27,75.5,66.3,74.3,77.0,76.7,60.9,11.4
225,Etienne Capoue,"10,500,000","8,504,380",32,76.5,77.0,75.5,75.3,61.0,68.9,12.0
226,Rolando Mandragora,"10,500,000","8,498,078",23,76.0,73.7,70.5,73.0,68.4,61.6,13.2
227,Jonathan Rodríguez,"10,000,000","8,473,151",27,76.5,36.0,64.3,64.3,79.6,69.1,10.6
228,Diogo Gonçalves,"5,499,999","8,455,561",23,76.0,37.7,62.8,59.3,76.0,69.9,10.0
229,Roger Guedes,"8,999,999","8,333,569",23,79.5,25.3,59.0,71.3,74.3,70.1,10.6
230,Aaron Mooy,"8,999,999","8,332,866",29,75.0,71.0,74.3,78.3,70.4,68.8,10.8
231,Petros,"10,500,000","8,291,296",31,77.0,75.3,76.0,73.3,71.6,60.9,12.4
232,Diego Laxalt,"9,499,999","8,246,307",27,77.0,67.3,70.3,76.0,78.9,57.8,9.8
233,Timothy Castagne,"10,500,000","8,152,083",24,75.5,73.0,71.7,73.3,73.9,49.5,12.6
234,John Guidetti,"6,999,999","8,139,577",28,75.5,36.3,65.7,64.7,64.0,76.1,11.2
235,Steven Defour,"6,500,000","8,112,520",32,75.5,73.7,76.7,77.0,64.1,70.6,10.6
236,Eljero Elia,"6,000,000","7,959,527",33,83.0,32.7,61.8,67.0,79.4,63.8,10.6
237,José Sá,"9,499,999","7,922,170",27,18.5,16.0,34.3,22.7,52.6,19.5,75.0
238,Christian Kabasele,"10,000,000","7,902,385",29,62.5,78.3,62.8,56.7,69.0,49.2,12.2
239,Álex Moreno,"9,499,999","7,883,934",27,78.5,72.3,69.2,72.0,78.4,62.1,10.8
240,Saúl Salcedo,"6,500,000","7,756,992",23,50.5,74.7,58.0,44.7,71.1,38.9,9.4
241,Karol Linetty,"10,000,000","7,742,816",25,75.0,72.0,73.8,70.7,72.9,55.0,10.4
242,Ali Adnan,"6,000,000","7,712,592",26,77.5,71.7,72.3,69.7,75.0,68.5,11.8
243,Alireza Jahanbakhsh,"6,000,000","7,683,339",27,78.0,40.7,67.0,67.7,76.4,65.8,9.4
244,Lucas Janson,"6,999,999","7,664,168",26,76.0,30.3,64.0,63.0,78.9,66.0,11.2
245,José Luis Palomino,"7,499,999","7,636,217",30,60.0,77.7,60.5,62.0,56.3,43.4,10.6
246,Yvon Mvogo,"7,499,999","7,617,683",26,22.5,19.3,37.0,19.7,53.1,21.8,75.0
247,Ryan Thomas,"7,499,999","7,563,062",25,78.5,58.3,72.5,72.3,73.6,57.9,9.0
248,Mauricio Pereyra,"8,500,000","7,532,522",30,76.0,51.0,74.2,75.7,73.3,66.9,12.4
249,Ansu Fati,"7,999,999","7,463,152",17,75.0,27.7,56.2,69.3,75.9,63.4,8.0
250,Jefferson Farfán,"4,500,000","7,428,735",35,76.0,29.7,70.0,73.3,76.1,74.8,11.8
251,Antunes,"7,999,999","7,420,725",33,77.0,77.0,73.7,78.7,71.3,73.6,10.0
252,Vadis Odjidja-Ofoe,"7,999,999","7,416,613",31,78.0,68.3,73.8,77.7,67.3,72.2,11.8
253,Marcos Senesi,"11,000,000","7,414,105",23,69.5,76.3,64.7,66.0,67.6,38.1,9.8
254,Holger Badstuber,"5,499,999","7,414,022",31,57.5,75.7,67.7,72.0,47.1,62.0,9.6
255,Clayton Fildeiras,"3,399,999","7,383,488",24,73.5,40.3,70.5,65.3,72.6,68.9,9.4
256,Davide Santon,"5,499,999","7,358,803",29,75.0,75.3,71.3,73.7,66.7,60.5,12.4
257,Petros Mantalos,"6,999,999","7,332,930",29,78.5,47.0,67.0,75.0,69.6,66.4,10.2
