,Player,Overall Score,Potential Score,Market Value,Weekly Salary,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
24,Michael Fernandes,57,70,200000,2000,178,70,21,Right,56.0,29.0,41.166666666666664,48.0,69.28571428571429,41.125,9.2
25,Hussain Al Eissa,57,75,210000,1500,165,55,19,Right,56.5,22.666666666666668,43.833333333333336,49.666666666666664,63.857142857142854,45.875,10.0
26,Emil Holten,57,63,140000,1900,195,84,24,Right,53.5,20.0,49.333333333333336,41.0,54.142857142857146,46.625,10.2
27,Cristian Dumitru,57,74,210000,1500,173,70,18,Right,58.5,35.0,48.833333333333336,40.0,63.42857142857143,50.75,8.4
28,Iustin Popescu,57,60,100000,1500,188,80,27,Right,11.5,10.0,24.166666666666668,16.0,34.42857142857143,15.125,58.0
29,Artur Bogusz,57,58,110000,1500,181,74,27,Right,52.0,56.666666666666664,45.166666666666664,45.0,63.285714285714285,32.375,8.6
30,Josip Stanisic,57,74,210000,1500,186,77,20,Right,43.0,56.333333333333336,43.0,37.666666666666664,60.142857142857146,29.0,9.6
31,Patrick Osterhage,57,72,220000,5100,184,75,20,Left,62.5,44.0,48.833333333333336,53.666666666666664,65.28571428571429,42.625,8.2
32,Piotr Pyrdoł,57,71,230000,1500,178,63,21,Right,56.5,20.333333333333332,41.666666666666664,53.0,57.857142857142854,43.375,10.4
33,Joshua Mroß,57,67,130000,1500,187,80,23,Right,15.0,7.666666666666667,29.333333333333332,19.666666666666668,35.285714285714285,15.25,56.8
34,Marvin Ekpiteta,57,64,130000,2100,193,84,24,Right,29.5,57.333333333333336,43.0,32.0,59.857142857142854,31.0,7.6
35,Danny Leyva,57,82,220000,1500,178,64,17,Right,52.5,46.0,53.5,49.333333333333336,60.0,48.625,8.6
36,Tom Clifford,57,70,180000,1500,175,76,21,Left,54.0,52.0,53.833333333333336,51.333333333333336,70.28571428571429,46.375,10.4
37,Hugo Garcia,57,64,140000,1500,177,71,22,Left,66.0,38.0,50.5,52.333333333333336,60.857142857142854,44.25,12.8
38,Jon Mellish,57,67,150000,1500,188,73,22,Left,40.5,55.0,43.0,37.333333333333336,59.857142857142854,28.75,11.4
39,Matthew Warburton,57,58,120000,3200,176,71,28,Right,53.5,33.666666666666664,51.666666666666664,49.0,63.57142857142857,48.5,12.0
40,Ibrahim Karamoko,57,67,150000,1500,187,79,19,Right,57.0,55.0,54.333333333333336,57.0,53.142857142857146,47.25,11.0
41,Roberto Mălăele,57,74,210000,1500,176,70,17,Right,57.5,33.333333333333336,45.0,43.0,60.142857142857146,33.125,9.4
42,Jesse Weißenfels,57,57,110000,1500,186,76,28,Right,51.0,25.333333333333332,44.0,39.0,58.285714285714285,49.875,6.4
43,Jan Just,57,63,130000,1500,190,83,23,Right,37.5,60.0,46.333333333333336,46.0,56.142857142857146,39.875,8.4
44,Mateusz Skrzypczak,57,73,200000,1500,186,77,20,Left,40.0,58.666666666666664,47.166666666666664,42.666666666666664,60.285714285714285,35.25,9.6
45,Dawid Szot,57,75,200000,1500,183,75,19,Right,41.0,57.333333333333336,48.833333333333336,40.0,59.42857142857143,31.25,10.4
46,Samir Chergui,57,69,180000,1500,183,70,21,Right,56.5,56.0,50.666666666666664,56.666666666666664,59.285714285714285,39.25,9.8
47,Ludovic Le Pennec,57,74,180000,1500,187,72,19,Right,13.5,11.333333333333334,25.166666666666668,20.666666666666668,35.857142857142854,14.0,57.2
48,Oliver Petersen,57,76,170000,1500,189,84,18,Right,8.0,11.0,19.666666666666668,19.333333333333332,36.714285714285715,14.25,59.0
49,Taylor Allen,57,71,220000,2100,178,72,20,Left,56.0,25.333333333333332,44.166666666666664,49.333333333333336,67.57142857142857,49.125,11.4
50,Mu Pengfei,57,57,70000,1600,192,89,31,Right,12.5,17.0,31.166666666666668,18.0,42.857142857142854,13.125,54.6
51,Juan Camilo Portilla,57,69,180000,1500,183,75,21,Right,52.0,49.666666666666664,51.333333333333336,57.333333333333336,66.14285714285714,41.75,11.0
52,Park Jung In,57,77,210000,1500,178,70,19,Right,57.5,34.333333333333336,52.5,56.333333333333336,63.42857142857143,43.25,9.6
53,Jesús Gómez,57,75,190000,1500,183,72,18,Left,53.5,55.0,47.166666666666664,41.666666666666664,61.285714285714285,37.75,8.4
54,Stelios Kokovas,57,73,190000,1500,186,80,19,Left,49.5,56.0,49.0,53.333333333333336,64.14285714285714,34.25,11.8
55,Raoul Baicu,57,74,220000,1500,174,73,20,Left,56.5,33.333333333333336,48.333333333333336,50.333333333333336,70.14285714285714,50.125,9.4
56,Călin Popescu,57,73,210000,1500,171,63,18,Left,55.5,40.666666666666664,50.0,51.666666666666664,64.85714285714286,43.875,8.0
57,Marian Târșă,57,65,150000,1500,182,75,22,Right,53.5,53.0,54.166666666666664,50.666666666666664,61.42857142857143,40.375,8.8
58,Toma Niga,57,65,120000,1500,187,82,23,Right,16.5,13.666666666666666,29.333333333333332,16.666666666666668,34.42857142857143,19.25,55.8
59,Paul Costea,57,66,160000,1500,173,63,21,Right,57.0,31.666666666666668,45.833333333333336,51.666666666666664,60.714285714285715,48.375,9.0
60,Andrei Cristea,57,73,190000,1500,195,83,20,Right,13.0,11.0,23.166666666666668,20.666666666666668,34.0,14.875,57.4
61,Lewis Miller,57,66,130000,1500,187,83,20,Right,47.5,52.0,43.0,51.333333333333336,69.57142857142857,38.5,9.4
62,Josh Nisbet,57,67,160000,1500,158,58,21,Right,52.5,49.333333333333336,52.0,54.333333333333336,70.57142857142857,46.5,10.8
63,Chen Kerui,57,62,140000,1900,183,73,24,Right,59.0,35.666666666666664,47.333333333333336,54.666666666666664,59.42857142857143,47.375,9.8
64,Jeon Jong Hyeok,57,65,120000,1500,186,80,24,Right,10.5,12.0,21.333333333333332,18.333333333333332,36.0,13.875,57.4
65,Jarrad Branthwaite,57,80,210000,1500,193,70,18,Right,42.0,55.666666666666664,42.0,39.0,57.857142857142854,31.75,10.4
66,Bertie Smith-Hylton,57,70,180000,1500,184,74,23,Right,46.5,55.333333333333336,53.166666666666664,49.333333333333336,56.42857142857143,46.125,10.6
67,Cristian Blanco,57,71,210000,1500,167,68,21,Left,57.5,54.666666666666664,49.833333333333336,51.666666666666664,63.714285714285715,33.0,9.8
68,Richie Loughty,57,62,120000,1500,176,76,26,Right,50.5,56.666666666666664,53.166666666666664,50.333333333333336,60.42857142857143,40.125,11.8
69,Nassim El Ablak,57,70,190000,1500,178,68,20,Right,63.5,33.666666666666664,48.333333333333336,52.0,58.285714285714285,47.125,9.2
70,Gastón Avila,57,79,210000,1500,182,75,18,Left,32.0,59.333333333333336,42.333333333333336,32.666666666666664,60.0,35.375,10.0
71,Haruya Fujii,57,71,200000,1500,187,76,19,Right,54.0,52.666666666666664,47.833333333333336,52.333333333333336,64.28571428571429,38.25,9.0
72,Duván Carrillo,57,69,150000,1500,182,76,22,Right,17.0,9.333333333333334,23.0,20.666666666666668,36.42857142857143,14.25,57.6
73,Shusuke Yonehara,57,66,150000,1500,184,72,22,Left,41.5,56.0,52.5,50.0,55.42857142857143,42.75,9.2
74,Tate Schmitt,57,67,170000,1500,180,73,23,Left,59.5,24.333333333333332,46.166666666666664,46.333333333333336,65.57142857142857,54.125,9.4
75,Patrick Finger,57,72,210000,1700,166,61,19,Left,56.5,48.333333333333336,56.5,56.0,61.714285714285715,51.125,11.2
76,Jimmy Congo,57,68,160000,1500,176,74,22,Right,47.0,55.666666666666664,51.333333333333336,48.0,66.14285714285714,42.75,8.0
77,Song Zhiwei,57,57,90000,2000,185,80,31,Right,51.5,54.333333333333336,52.333333333333336,54.0,62.857142857142854,44.0,10.2
78,Tong Xiaoxing,57,57,80000,2300,175,65,33,Right,54.0,49.666666666666664,54.833333333333336,53.0,67.0,51.125,9.8
79,Carlos Terán,57,76,200000,1500,187,78,19,Right,46.5,59.333333333333336,42.0,40.666666666666664,61.714285714285715,31.5,7.0
80,Erlend Tolnes Sørhøy,57,60,130000,1500,183,79,26,Left,55.0,36.0,47.5,55.0,62.0,50.125,10.4
81,Luis Barraza,57,67,130000,1500,187,88,23,Right,13.0,10.333333333333334,27.166666666666668,18.666666666666668,34.42857142857143,15.0,56.4
82,Wang Weilong,57,57,80000,2000,187,71,32,Right,41.0,55.0,44.666666666666664,35.666666666666664,60.142857142857146,31.125,12.0
83,Hiroya Matsumoto,57,71,210000,1500,180,73,20,Right,59.0,48.0,52.166666666666664,55.0,62.142857142857146,43.0,10.6
84,Michael Olczyk,57,64,130000,1500,176,72,23,Right,50.0,58.666666666666664,44.5,46.666666666666664,63.142857142857146,30.875,10.0
85,Odin Thiago Holm,57,80,230000,1500,175,63,17,Right,59.5,38.0,46.666666666666664,53.333333333333336,61.57142857142857,45.625,11.8
86,Nicholas Mickelson,57,70,180000,1500,185,80,21,Right,56.0,53.666666666666664,46.333333333333336,44.0,63.285714285714285,32.125,9.8
87,Griffin Dorsey,57,66,160000,1500,183,73,21,Right,57.5,41.666666666666664,48.5,50.0,66.42857142857143,48.625,9.0
88,Rakan Al Shamlan,57,67,170000,4100,175,64,22,Right,60.5,42.0,45.166666666666664,59.666666666666664,59.714285714285715,44.375,10.4
89,Takumi Nakamura,57,71,200000,1500,177,68,19,Right,51.5,53.0,49.0,55.0,59.42857142857143,30.875,8.6
90,Ísak Bergmann Jóhannesson,57,73,210000,1500,180,67,17,Left,59.5,33.666666666666664,45.833333333333336,53.666666666666664,68.0,49.0,11.4
91,Alistair Smith,57,64,140000,2400,187,67,21,Right,57.5,50.333333333333336,53.833333333333336,56.0,69.0,51.375,11.0
92,Santeri Väänänen,57,73,200000,1500,175,68,18,Right,58.0,48.666666666666664,55.666666666666664,51.333333333333336,67.0,42.125,9.4
93,Alexis Gutiérrez,57,70,190000,2200,173,74,20,Right,57.0,53.0,50.333333333333336,59.333333333333336,63.142857142857146,49.625,11.2
94,Anton Skipper,57,73,210000,1600,194,77,20,Right,45.5,56.666666666666664,40.666666666666664,38.666666666666664,56.714285714285715,30.875,9.4
95,Aaron Reardon,57,68,160000,1500,181,75,21,Right,43.0,58.0,43.0,40.333333333333336,59.142857142857146,27.5,9.4
96,Idris El Mizouni,57,77,210000,1500,183,74,19,Right,58.5,45.666666666666664,53.0,50.0,61.857142857142854,45.5,8.8
97,James Rowland,57,80,230000,1500,165,65,18,Right,56.0,32.333333333333336,49.333333333333336,54.0,66.28571428571429,45.375,9.4
98,Samir Bouzar,57,70,180000,1500,184,79,21,Right,47.5,59.666666666666664,47.833333333333336,50.666666666666664,58.857142857142854,37.75,11.2
99,Matko Miljevic,57,77,210000,1500,178,72,19,Right,56.0,58.666666666666664,56.5,57.666666666666664,61.142857142857146,45.375,8.6
100,Charlie Jolley,57,77,220000,1500,178,66,19,Left,55.0,15.0,44.5,41.0,59.42857142857143,51.375,9.8
101,Callan Elliot,57,67,150000,1500,175,64,21,Right,59.0,47.333333333333336,55.833333333333336,55.0,65.85714285714286,44.125,7.0
102,Sam Jamieson,57,71,230000,1500,180,71,21,Left,56.5,27.666666666666668,47.5,52.0,62.42857142857143,53.25,9.4
103,Geraldo Bajrami,57,74,210000,1500,182,78,20,Right,29.0,60.333333333333336,43.666666666666664,26.666666666666668,57.857142857142854,45.75,10.8
104,Jensen Weir,57,77,200000,1500,178,70,18,Right,56.0,45.0,50.833333333333336,57.333333333333336,57.857142857142854,49.625,9.4
105,Karol Stanek,57,67,160000,1500,186,77,20,Right,50.5,16.0,44.5,40.0,60.285714285714285,49.25,13.4
106,Harrison Clarke,57,76,200000,2700,178,67,19,Right,49.0,57.0,50.833333333333336,46.0,61.142857142857146,41.625,11.0
107,Hani Al Sibyani,57,66,140000,3700,175,70,22,Left,53.5,54.0,51.0,46.666666666666664,67.42857142857143,28.0,11.8
108,Isaac Olaofe,57,72,220000,1600,178,82,20,Right,57.0,15.0,44.0,41.0,67.14285714285714,48.75,7.6
109,Dawid Pakulski,57,66,160000,1500,174,66,22,Right,62.0,46.0,44.333333333333336,55.666666666666664,58.0,43.625,10.8
110,Nawaf Al Farshan,57,71,230000,4100,165,67,22,Right,61.0,52.666666666666664,49.5,54.0,62.0,46.375,12.2
111,Kenta Ito,57,67,150000,1500,177,62,21,Left,46.5,56.333333333333336,45.0,53.333333333333336,62.0,28.25,10.4
112,Marvin Kokos,57,70,190000,1500,182,78,19,Right,55.0,25.0,45.666666666666664,47.333333333333336,63.42857142857143,52.25,9.6
113,Ilan Sauter,57,77,200000,1500,183,79,19,Left,46.0,55.0,49.666666666666664,49.0,70.0,36.375,10.2
114,Carlos Moreno,57,66,120000,1600,190,81,22,Right,15.0,11.0,24.833333333333332,19.333333333333332,36.142857142857146,15.25,58.2
115,Max Kulke,57,73,210000,1500,177,74,19,Right,55.5,45.0,50.833333333333336,52.333333333333336,62.0,47.125,10.8
116,Remigiusz Borkała,57,66,160000,1500,176,72,21,Right,60.5,37.666666666666664,46.166666666666664,56.0,61.285714285714285,46.25,11.4
117,Lewis Bryon,57,70,180000,3600,185,82,20,Right,44.5,56.0,50.333333333333336,47.333333333333336,55.857142857142854,32.375,9.4
118,Tim Prica,57,72,210000,1500,183,75,18,Left,53.5,15.666666666666666,38.833333333333336,42.0,62.714285714285715,51.375,8.2
119,Mohammed Al Haeti,57,65,120000,2700,188,75,24,Right,13.0,10.333333333333334,25.333333333333332,21.666666666666668,43.42857142857143,14.5,56.4
120,Choi Young Eun,57,65,120000,1500,189,78,24,Right,12.0,11.333333333333334,23.333333333333332,17.666666666666668,32.57142857142857,12.875,55.0
121,Yasufumi Nishimura,57,67,150000,1500,185,73,20,Right,58.5,54.666666666666664,50.333333333333336,57.666666666666664,60.285714285714285,45.125,12.4
122,Sam Woods,57,71,210000,4900,186,77,21,Right,35.0,56.666666666666664,46.166666666666664,34.0,48.857142857142854,29.5,8.8
123,Giacomo Volpe,57,64,110000,1500,189,80,24,Right,16.0,10.333333333333334,24.166666666666668,16.333333333333332,36.714285714285715,15.5,56.6
124,Tobias Koch,57,72,200000,1500,180,75,19,Right,56.0,60.333333333333336,49.5,53.666666666666664,61.0,40.25,9.6
125,Adam Ben Lamin,57,70,170000,1500,184,70,19,Right,43.5,56.0,42.833333333333336,48.333333333333336,56.857142857142854,31.125,10.2
126,Carlos Gutiérrez,57,71,230000,2500,177,73,21,Right,61.0,33.0,51.833333333333336,56.666666666666664,57.57142857142857,49.0,11.8
127,Liridon Mulaj,57,67,170000,1500,175,65,21,Right,63.5,26.333333333333332,45.333333333333336,49.666666666666664,62.285714285714285,47.875,10.0
128,Filip Møller Delaveris,57,72,210000,1500,175,70,19,Right,58.5,16.333333333333332,40.0,48.333333333333336,66.85714285714286,51.75,8.8
129,Manuel Gasparini,57,79,190000,1500,185,70,18,Right,18.5,13.0,30.0,27.666666666666668,44.0,16.125,54.8
130,Matthias Minder,57,61,100000,1500,188,85,27,Left,15.5,11.333333333333334,26.333333333333332,16.333333333333332,36.857142857142854,14.25,57.0
131,Marian Prinz,57,74,190000,1500,192,80,20,Right,9.0,13.666666666666666,25.0,16.666666666666668,33.42857142857143,15.375,56.8
132,Leon Brüggemeier,57,66,120000,1800,193,83,23,Right,10.0,12.666666666666666,24.333333333333332,17.0,43.57142857142857,13.75,57.2
133,Ollie Kensdale,57,71,210000,1500,191,85,20,Right,33.0,55.333333333333336,41.833333333333336,40.0,55.0,31.0,8.0
134,Nsana Simon,57,71,220000,1500,171,62,20,Left,61.5,56.666666666666664,52.0,54.0,62.57142857142857,46.25,10.4
135,Akinwale Odimayo,57,71,210000,1700,183,75,20,Left,40.5,57.666666666666664,44.333333333333336,39.333333333333336,58.857142857142854,26.875,9.0
136,Denis Jäpel,57,67,170000,1500,178,70,22,Right,57.0,18.666666666666668,39.833333333333336,43.333333333333336,67.14285714285714,50.75,10.0
137,Trae Coyle,57,75,210000,4400,177,75,19,Right,56.0,21.333333333333332,43.5,54.333333333333336,61.857142857142854,45.375,11.8
138,Mons Bassouamina,57,68,180000,1500,172,71,22,Right,58.0,16.0,44.0,44.666666666666664,64.14285714285714,50.0,8.0
139,Piotr Pierzchała,57,66,150000,1500,190,88,21,Right,45.0,52.0,48.833333333333336,36.666666666666664,55.857142857142854,48.125,12.4
140,Aidan Stone,57,67,130000,1500,186,75,21,Right,16.0,13.666666666666666,34.833333333333336,27.666666666666668,43.42857142857143,15.625,57.4
141,Onur Ünlüçifçi,57,65,150000,1500,178,70,23,Left,64.0,34.0,46.666666666666664,58.0,68.85714285714286,42.75,9.4
142,Iker Pozo,57,76,200000,3700,178,74,20,Right,54.5,52.666666666666664,53.5,56.333333333333336,61.285714285714285,43.75,9.6
143,Michael Fuentes,57,69,180000,1500,170,71,22,Right,61.5,26.666666666666668,44.666666666666664,47.0,65.85714285714286,47.375,8.0
144,İlker Karakaş,57,66,160000,2400,180,88,21,Right,50.5,22.333333333333332,44.333333333333336,39.333333333333336,56.0,53.25,12.6
145,Park Tae Jun,57,69,180000,1500,175,62,21,Right,57.0,41.0,49.166666666666664,57.333333333333336,65.14285714285714,46.875,11.6
146,Ali Al Hassan,57,64,140000,3900,182,67,24,Right,55.0,49.333333333333336,53.666666666666664,52.333333333333336,64.71428571428571,41.625,11.4
147,Yun Ji Hyeok,57,66,150000,1500,190,85,22,Right,31.5,52.0,47.5,32.333333333333336,57.714285714285715,29.5,11.0
148,Sergio Pabón,57,65,120000,1500,189,79,24,Right,10.0,10.333333333333334,29.0,19.0,34.0,14.0,56.4
149,Ramzi Solan,57,68,180000,3200,169,65,22,Right,60.0,13.333333333333334,44.166666666666664,44.0,67.14285714285714,51.125,11.6
150,Agustín Manzur,57,72,210000,1500,169,64,19,Right,55.5,57.333333333333336,51.166666666666664,55.0,61.42857142857143,45.625,9.8
151,Jon Russell,57,71,210000,4400,189,70,19,Right,55.0,56.0,52.666666666666664,56.666666666666664,59.42857142857143,44.75,10.6
152,Luca Ashby-Hammond,57,76,180000,1500,185,76,19,Right,17.0,11.0,23.5,18.666666666666668,25.142857142857142,17.125,57.6
153,Abdulquddus Attiah,57,67,130000,2400,190,77,23,Right,10.5,9.333333333333334,22.833333333333332,13.666666666666666,40.42857142857143,13.625,56.8
154,Brandon Servania,57,71,230000,1500,178,73,21,Right,61.0,45.333333333333336,54.166666666666664,56.0,58.714285714285715,48.625,10.2
155,Andreas Søndergaard,57,75,180000,1500,188,75,19,Right,12.0,11.666666666666666,27.333333333333332,20.0,37.285714285714285,13.875,56.6
156,Pacifique Niyongabire,57,69,180000,1500,180,78,20,Right,63.0,31.0,44.166666666666664,43.333333333333336,67.0,42.25,10.8
157,Yahia Fofana,57,75,180000,1500,194,89,20,Right,9.5,12.0,22.666666666666668,16.666666666666668,40.857142857142854,13.375,57.6
158,Connor Simpson,57,67,160000,2900,197,85,20,Right,50.5,29.666666666666668,46.833333333333336,42.666666666666664,60.57142857142857,49.125,13.0
159,Saad Al Selouli,57,71,230000,3300,168,57,22,Right,57.5,42.333333333333336,47.166666666666664,53.333333333333336,62.142857142857146,42.25,9.2
160,Gastón Zuñiga,57,67,150000,1500,179,70,20,Right,51.0,55.666666666666664,49.833333333333336,55.333333333333336,62.285714285714285,37.125,8.2
161,Milan De Mey,57,70,170000,1500,180,74,19,Right,61.0,55.333333333333336,49.833333333333336,48.666666666666664,64.71428571428571,42.25,9.4
162,Jamie Mascoll,57,64,130000,1500,189,66,23,Left,52.0,53.0,50.0,48.333333333333336,71.28571428571429,42.125,9.8
163,Stiven Rentería,57,65,150000,1500,178,70,22,Right,60.5,21.666666666666668,44.833333333333336,38.333333333333336,64.57142857142857,49.625,9.0
164,Kasper Thiesson Kristensen,57,69,140000,1500,191,75,21,Right,13.0,12.0,23.0,15.333333333333334,29.571428571428573,14.625,57.4
165,Billy Crellin,57,74,190000,1500,185,60,20,Right,9.0,13.666666666666666,23.666666666666668,20.0,39.857142857142854,14.625,57.2
166,Andrew Lyons,57,71,200000,1500,173,58,20,Right,52.0,56.333333333333336,53.333333333333336,52.666666666666664,61.142857142857146,43.875,11.4
167,Harvey Knibbs,57,71,230000,1800,190,75,21,Right,53.0,20.666666666666668,43.166666666666664,38.333333333333336,66.0,49.25,9.8
168,Harlem Hale,57,65,150000,4900,180,75,20,Right,59.0,21.666666666666668,43.333333333333336,55.0,60.142857142857146,51.25,8.6
169,George Nurse,57,72,230000,4800,181,78,21,Left,57.0,36.333333333333336,47.0,49.0,71.14285714285714,48.125,8.2
170,Liu Heng,57,62,120000,1700,180,74,24,Right,36.5,59.666666666666664,42.833333333333336,34.666666666666664,66.42857142857143,29.375,8.6
171,Jiang Wenjun,57,57,90000,2100,180,72,30,Left,56.5,52.333333333333336,52.5,56.333333333333336,65.71428571428571,33.0,10.8
172,Apostolos Stamatelopoulos,57,65,160000,1500,184,84,21,Right,48.5,21.333333333333332,43.833333333333336,33.666666666666664,61.714285714285715,44.75,9.2
173,Taiyo Hama,57,65,140000,1500,182,73,22,Right,41.0,57.0,42.5,37.333333333333336,59.142857142857146,26.875,11.4
174,Alexander Ammitzbøll,57,67,170000,1900,187,79,21,Right,55.5,25.666666666666668,41.166666666666664,38.333333333333336,61.714285714285715,45.125,11.6
175,Brian Chevreuil,57,65,150000,1500,176,76,23,Left,60.5,43.666666666666664,50.5,56.666666666666664,63.142857142857146,47.0,11.0
176,Joshua Kayode,57,71,220000,1500,191,75,20,Right,56.0,17.333333333333332,43.5,29.0,65.28571428571429,44.0,10.6
177,Akeem Hinds,57,68,160000,1500,178,72,20,Left,53.0,54.666666666666664,46.166666666666664,43.0,69.42857142857143,34.75,8.2
178,Tomás Durso,57,67,130000,1500,185,80,21,Right,12.5,12.666666666666666,22.833333333333332,19.333333333333332,36.142857142857146,13.375,57.6
179,Fahad Al Habib,57,69,150000,2400,180,69,22,Right,10.0,14.0,27.166666666666668,20.666666666666668,35.0,14.0,56.0
180,Ajibola Alese,57,70,170000,2700,185,70,19,Right,39.0,55.0,47.166666666666664,39.333333333333336,57.285714285714285,35.75,10.0
181,Cameron Yates,57,67,130000,1500,186,80,21,Right,12.0,13.0,25.166666666666668,15.333333333333334,42.714285714285715,13.875,57.4
182,Jordan Hallam,57,68,180000,2400,173,63,21,Right,57.5,22.666666666666668,46.333333333333336,44.666666666666664,65.85714285714286,54.125,9.4
183,Maxime De Bie,57,71,200000,1500,188,80,19,Right,57.5,56.333333333333336,45.833333333333336,56.333333333333336,55.57142857142857,38.875,7.4
184,Malachi Napa,57,71,230000,1500,168,65,21,Right,57.5,37.666666666666664,43.166666666666664,50.0,61.285714285714285,40.75,10.4
185,Luke Burgess,57,70,200000,2100,178,70,21,Right,60.0,41.333333333333336,47.833333333333336,56.666666666666664,63.142857142857146,43.75,8.6
186,Connor Metcalfe,57,73,220000,1500,178,70,20,Right,59.5,52.333333333333336,55.333333333333336,51.333333333333336,68.85714285714286,37.375,11.0
187,Ben Folami,57,73,230000,2000,170,70,21,Right,58.0,19.333333333333332,41.5,44.0,61.42857142857143,46.75,10.0
188,Daniel Adshead,57,76,200000,1500,178,70,19,Right,54.0,50.333333333333336,51.666666666666664,56.0,61.857142857142854,45.625,8.6
189,Max Johnstone,57,70,160000,1500,183,75,22,Right,14.5,10.666666666666666,26.166666666666668,19.333333333333332,37.0,14.125,56.6
190,Mads Christiansen,57,73,180000,1500,197,80,19,Right,15.5,15.0,26.0,19.333333333333332,33.142857142857146,18.25,57.2
191,Nebiyou Perry,57,67,160000,1500,175,70,20,Right,60.5,24.666666666666668,41.0,57.0,60.857142857142854,41.875,8.4
192,Dylan Duncan,57,69,180000,1500,173,75,21,Right,59.0,49.666666666666664,53.333333333333336,57.333333333333336,62.57142857142857,47.0,9.2
193,Sebastian Silva,57,63,130000,1500,181,81,23,Right,27.0,58.333333333333336,41.166666666666664,25.0,59.285714285714285,28.125,10.2
194,Lachlan Brook,57,74,210000,1500,178,69,19,Left,64.0,35.666666666666664,44.0,52.0,65.57142857142857,44.875,10.2
195,Li Hailong,57,63,130000,1700,181,74,24,Right,54.0,56.666666666666664,50.166666666666664,50.0,62.714285714285715,33.5,9.4
196,Chen Zhao,57,67,130000,1500,189,83,23,Right,11.5,14.0,27.333333333333332,27.333333333333332,41.285714285714285,13.75,54.8
